公司名称,链接,申报稿,上会稿,注册稿
赛克赛斯生物科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002889,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_29200007D921DA99E1422190F197B2BA37687D.pdf,--,--
安徽大昌科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003442,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_2921158D675F6B051C4989B505A7A5EF7321AA.pdf,--,--
浙江中控信息产业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003426,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_29220540E013CEE9A742A9955FA067BB45C242.pdf,--,--
东莞市贝特电子科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003314,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_2920302F6B2B2099BC467E8AF05DF112DE3A4D.pdf,--,--
苏州鸿安机械股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002347,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202212/RAS_202212_000184E7506FBE3FEAE8664062DD873F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_18215C35BCCD4BC8BBC9DB5110C78431.pdf,--
苏州亚德林股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002170,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_B1A7A22A95D9486AA0D8FA8CB0814F7C.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_61C9D062A0B14A699BB19EFD789B1E90.pdf,--
力高（山东）新能源技术股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003411,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_292015FE63BE073CC5408C8EE57E744BBDF924.pdf,--,--
一道新能源科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003728,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_292020C5EFA2E84D2B4200AFA61C8299D52827.pdf,--,--
埃索凯科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002238,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_4CA5737FC6C34C98AC48C7B20C425E65.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_271638CE93074689AA212E4C5AD48D31.pdf,--
河北一品制药股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002295,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202302/RAS_202302_56BC4531B0F54F1E9FAB71FC4393A1F8.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_B259734F343A44B2AC0AB2DAA5B997FE.pdf,--
新麦机械（中国）股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002382,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_292005705B59721DB54047BA5471465E97F0ED.pdf,--,--
上海鹰峰电子科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003428,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_292025A70BB9C9791149F4A572209E9742D793.pdf,--,--
江苏万高药业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002231,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202301/RAS_202301_6465F1640F8242CFAAA050D32A87236D.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_586C7743938249C693771FEEBD8B9863.pdf,--
海诺尔环保产业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001159,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202109/RAS_202109_00017B7C9BEB4C3FE8DC563C8F844E3F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202110/RAS_202110_00017C992195E33FCC1F962B950C903F.pdf,--
安徽兆尹信息科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002213,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_310030B787C7896E1B4303A9AD4EBA7AFBBA22.pdf,--,--
杭州腾励传动科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003180,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202403/RAS_202403_3120354708A4047F7E4344A0BBEA23B1AC2B28.pdf,--,--
广东国地规划科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002251,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202212/RAS_202212_BA64069E202B4B4CA6387C34BC2B55ED.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_E2EB6C1DF308482786553706D21A10C4.pdf,--
上海山源电子科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003422,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202403/RAS_202403_202055995477E52961488B9580C90828AE70FF.pdf,--,--
广州康盛生物科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002287,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202211/RAS_202211_00018496E1EA253FBE334DFEE4C2E03F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202301/RAS_202301_9C95D89423BD451EB7D6139171A6CE55.pdf,--
赛尔通信服务技术股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003725,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_2C6DC40F1AA8478E937D358D98801A28.pdf,--,--
