公司名称,板块,审核状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期,链接
赛诺威盛科技（北京）股份有限公司,科创板,终止,北京,专用设备制造业,国金证券股份有限公司,北京市中伦律师事务所,大信会计师事务所（特殊普通合伙）,2024-06-14,2023-03-27,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1432
云舟生物科技（广州）股份有限公司,科创板,终止,广东,研究和试验发展,海通证券股份有限公司,北京德恒律师事务所,毕马威华振会计师事务所（特殊普通合伙）,2024-06-13,2023-06-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1887
深圳垦拓流体技术股份有限公司,科创板,终止,广东,通用设备制造业,中信证券股份有限公司,北京市中伦律师事务所,致同会计师事务所（特殊普通合伙）,2024-06-13,2023-12-27,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2027
宁波斯贝科技股份有限公司,主板,终止,浙江,金属制品业,安信证券股份有限公司,北京德恒律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-12,2023-06-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1899
北京四环科宝制药股份有限公司,主板,终止,北京,医药制造业,中信建投证券股份有限公司,北京海润天睿律师事务所,立信会计师事务所（特殊普通合伙）,2024-06-12,2023-03-01,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1484
中圣科技（江苏）股份有限公司,科创板,终止,江苏,专用设备制造业,中国国际金融股份有限公司,北京国枫律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-12,2023-06-15,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1846
镇海石化建安工程股份有限公司,主板,终止,浙江,专用设备制造业,中国国际金融股份有限公司,北京市汉坤律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-11,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2000
深圳市尚水智能股份有限公司,科创板,终止,广东,专用设备制造业,民生证券股份有限公司,北京市竞天公诚律师事务所,中汇会计师事务所（特殊普通合伙）,2024-06-11,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1977
北京金万众机械科技股份有限公司,主板,终止,北京,批发业,第一创业证券承销保荐有限责任公司,北京市天元律师事务所,大华会计师事务所（特殊普通合伙）,2024-06-07,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1949
华羿微电子股份有限公司,科创板,终止,陕西,计算机、通信和其他电子设备制造业,天风证券股份有限公司,北京市竞天公诚律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-07,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1970
